time,vaccinated
0,0
0,6
0,11
0,15
0,20
0,21
0,22
0,26
0,26
0,28
0,32
0,34
0,34
0,43
0,51
0,63
0,64
0,76
0,83
0,91
0,102
0,108
0,114
0,118
0,118
0,119
0,122
0,129
0,136
0,145
0,151
0,155
0,165
0,170
0,173
0,172
0,173
0,168
0,167
0,175
0,183
0,181
0,188
0,188
0,185
0,191
0,202
0,200
0,204
0,204
0,209
0,217
0,225
0,227
0,239
0,248
0,247
0,250
0,250
0,254
0,252
0,266
0,267
0,278
0,289
0,298
0,298
0,298
0,304
0,306
0,309
0,307
0,316
0,321
0,325
0,333
0,330
0,327
0,323
0,329
0,334
0,341
0,347
0,348
0,352
0,354
0,353
0,350
0,348
0,346
0,346
0,348
0,353
0,354
0,361
0,363
0,370
0,370
0,375
0,371
0,374
0,376
0,376
