time,vaccinated
0,0
0,0
0,0
0,0
0,1
0,1
0,3
0,3
0,4
0,5
0,5
0,6
0,8
0,10
0,12
0,13
0,14
0,16
0,18
0,18
0,18
0,19
0,19
0,19
0,19
0,19
0,19
0,19
0,23
0,24
0,26
0,29
0,29
0,29
0,30
0,30
0,33
0,33
0,35
0,36
0,37
0,38
0,40
0,40
0,41
0,41
0,41
0,43
0,43
0,46
0,47
0,47
0,49
0,50
0,51
0,52
0,54
0,54
0,56
0,56
0,57
0,57
0,59
0,60
0,60
0,62
0,63
0,66
0,66
0,66
0,68
0,68
0,70
0,70
0,70
0,71
0,72
0,72
0,73
0,73
0,76
0,77
0,77
0,77
0,77
0,77
0,77
0,78
0,78
0,79
0,80
0,80
0,81
0,81
0,81
0,81
0,81
0,82
0,83
0,84
0,84
0,85
0,85
